"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Adds to cart","Checkouts initiated",Leads,"Cost per lead","Result rate",Views,Viewers,"Results rate per link clicks","Ad Delivery","Campaign Delivery","Ad set delivery","Quality ranking","Engagement rate ranking","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Cost per ThruPlay","Outbound clicks","Unique outbound clicks","CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique CTR (all)","Unique clicks (all)","Instagram profile visits","Ad recall lift","Ad recall lift rate",Bid,"Bid type","Buying type","Performance goal",Objective,"Reporting starts","Reporting ends","Campaign Budget","Campaign Budget Type"
"New Advantage + With Campaigns","Japan Broad Targeting","Video 127 - Copy 2",2026-02-04,active,ad,2464,2702,1.09659091,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,3043,3043,2026-02-02,Ongoing,1.12359551,1.44927536,34.19101124,1126.20281273,3043,1,89,41.68493151,3043,3043,69,44.10144928,77.52808989,73,2.96266234,1,1,36,84.52777778,0.03700962,2801,2285,1.12359551,active,active,active,Average,"Above average",7,590,440,305,245,238,3.46188851,9.13813814,89,73,3.2938564,3.2938564,2.96266234,5.11363636,126,11,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,30000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting","New Poster",2026-02-04,active,ad,21876,25287,1.1559243,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",5,18158,3631.6,2026-02-02,Ongoing,1.13636364,1.19904077,41.26818182,718.07648199,3631.6,5,440,45.28179551,3631.6,4539.5,417,43.54436451,94.77272727,401,1.83305906,5,4,158,114.92405063,0.01977301,25451,21294,1.13636364,active,active,active,-,-,8,1563,634,391,144,118,2.80302563,8.15356982,446,401,1.74002452,1.76375213,1.83305906,3.38270251,740,330,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,30000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD Desk - Red Curtain - Copy",2026-02-04,active,ad,16,16,1,"7-day click or 1-day view","Landing page views",1,0,0,2026-01-09,Ongoing,0,0,0,0,,,1,0,,,1,0,100,1,6.25,,,,,6.25,16,16,100,active,active,active,-,-,,,,,,,,,1,1,6.25,6.25,6.25,6.25,1,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD Konnichiwa Video - Copy",2026-02-04,active,ad,9348,9641,1.0313436,"7-day click or 1-day view","Landing page views",410,3883,9.47073171,2026-01-09,Ongoing,0,0,8.59070796,402.75904989,,,452,8.96766744,,,410,9.47073171,90.7079646,433,4.63200685,,,35,110.94285714,4.25267088,9418,8879,90.7079646,active,active,active,Average,"Above average",10,895,354,225,70,51,0.94707317,3.02886115,452,433,4.68831034,4.68831034,4.63200685,6.30081301,589,140,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting",0202-video-JP-edit,2026-02-04,active,ad,25,35,1.4,"7-day click, 1-day view, or 1-day engaged-view",,,56,,2026-02-02,Ongoing,0,0,,1600,,,,,,,,,0,,,,,,,,32,25,,active,active,active,-,-,6,4,5,4,4,4,5.6,14,,,,,,4,1,2,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,30000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD with Skull Confetti - Copy",2026-02-04,active,ad,34,34,1,"7-day click or 1-day view",,,3,,2026-01-09,Ongoing,0,0,,88.23529412,,,,,,,,,0,,,,,,,,34,34,,active,active,active,-,-,,,,,,,,,,,,,,0,0,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Opening Weekend Video - Copy 2",2026-02-04,not_delivering,ad,0,0,0,"7-day click or 1-day view","Website purchases",1,0,0,2026-01-26,Ongoing,0,0,,,0,1,,,0,0,,,0,,,1,1,2,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","JD - Something Inspires Vid",2026-02-04,active,ad,1485,1525,1.02693603,"7-day click or 1-day view",Reach,1485,139,93.6026936,2026-01-19,Ongoing,0,0,,91.14754098,,,,,,,,,0,,,,,,,97.37704918,1587,1301,,active,active,active,"Above average",-,2,16,6,4,3,2,0.6123348,8.6875,,,,,,0,0,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-04,2026-02-04,20000,Daily
"ABOS Traffic 2.0","Broad Japan","JD with Skull Confetti - Copy",2026-02-04,active,ad,6,6,1,"7-day click or 1-day view","Landing page views",1,0,0,2026-01-09,Ongoing,0,0,0,0,,,1,0,,,1,0,100,1,16.66666667,,,,,16.66666667,6,6,100,active,active,active,-,-,,,,,,,,,1,1,16.66666667,16.66666667,16.66666667,16.66666667,1,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Black and white photo - Copy",2026-02-04,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2026-01-26,Ongoing,0,0,,,,,,,,,,,0,,,,,2,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Flexible 3 Groups",2026-02-04,not_delivering,ad,0,0,0,"7-day click or 1-day view","Website purchases",1,0,0,2026-01-26,Ongoing,0,0,,,0,1,,,0,0,,,0,,,1,1,2,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,100000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting","Opening Weekend Video - Copy 2",2026-02-04,active,ad,5328,5360,1.00600601,"7-day click, 1-day view, or 1-day engaged-view",,,4180,,2026-02-02,Ongoing,0,0,34.26229508,779.85074627,,,122,36.03448276,2090,2090,110,38,90.16393443,116,2.17717718,2,2,28,149.28571429,,5356,5046,,active,active,active,Average,"Above average",9,618,306,198,119,111,2.09734069,6.21099554,122,116,2.2761194,2.2761194,2.17717718,5.12387387,273,64,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,30000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting","Video 1007 - Copy 2",2026-02-04,active,ad,81,94,1.16049383,"7-day click, 1-day view, or 1-day engaged-view",,,175,,2026-02-02,Ongoing,0,0,58.33333333,1861.70212766,,,3,87.5,,,1,175,33.33333333,2,2.4691358,,,,,,86,71,,active,active,active,-,-,11,17,11,6,4,2,4.72972973,10.29411765,3,2,3.19148936,3.19148936,2.4691358,3.7037037,3,0,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,30000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","Poster [Redirect link]",2026-02-04,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2026-01-28,Ongoing,0,0,,,,,,,,,,,0,,,,,1,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,100000,Daily
"ABOS Traffic 2.0","Broad Japan","JD Spray Painting Ground",2026-02-04,active,ad,2006,2050,1.0219342,"7-day click or 1-day view","Landing page views",60,496,8.26666667,2026-01-09,Ongoing,0,0,8.70175439,241.95121951,,,57,8.70175439,,,60,8.26666667,105.26315789,57,2.84147557,,,1,496,2.92682927,2041,2005,105.26315789,active,active,active,-,-,,,,,,,,,57,57,2.7804878,2.7804878,2.84147557,3.14057827,63,2,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"ABOS Traffic 2.0","Broad Japan","Hello Tokyo - Copy",2026-02-04,active,ad,2,2,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,,,1,0,,2,2,,active,active,active,-,-,,,,,,,,,,,,,,0,0,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","Immersive Experience [Post]",2026-02-04,active,ad,18657,19786,1.06051348,"7-day click or 1-day view",Reach,18657,1740,93.26258241,2026-01-19,Ongoing,0,0,87,87.94096836,,,20,87,,,8,217.5,40,20,0.10719837,,,,,94.29394521,19563,18657,93285,active,active,active,Average,-,,,,,,,,,20,20,0.10108157,0.10108157,0.10719837,0.17151739,32,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-04,2026-02-04,20000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","JD Konnichiwa Vid",2026-02-04,active,ad,25617,26884,1.04945934,"7-day click or 1-day view",Reach,25617,2515,98.17699184,2026-01-19,Ongoing,0,0,193.46153846,93.55006695,,,13,193.46153846,,,12,209.58333333,92.30769231,13,0.05074755,,,,,95.28715965,24978,22317,197053.84615385,active,active,active,"Above average",-,2,262,82,41,20,16,0.66551998,5.86247086,13,13,0.0483559,0.0483559,0.05074755,0.58945232,151,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-04,2026-02-04,20000,Daily
"ABOS Traffic 2.0","JD Deep Interest","Hello Tokyo - Copy",2026-02-04,active,ad,10,10,1,"7-day click or 1-day view","Landing page views",1,2,2,2026-01-09,Ongoing,0,0,2,200,,,1,2,,,1,2,100,1,10,,,,,10,10,10,100,active,active,active,-,-,,,,,,,,,1,1,10,10,10,10,1,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting","JD Konnichiwa Video - Copy",2026-02-04,active,ad,3291,3489,1.06016408,"7-day click, 1-day view, or 1-day engaged-view",,,2401,,2026-02-02,Ongoing,0,0,38.72580645,688.16279736,,,62,41.39655172,,,59,40.69491525,95.16129032,58,1.76238225,,,22,109.13636364,,3505,3260,,active,active,active,Average,"Above average",8,113,57,35,12,5,6.57808219,15.29299363,61,57,1.77701347,1.74835196,1.73199635,3.3120632,109,24,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,30000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad",jd-bw-photo,2026-02-04,active,ad,11035,11440,1.0367014,"7-day click or 1-day view",Reach,11035,977,88.53647485,2026-01-19,Ongoing,0,0,108.55555556,85.4020979,,,9,108.55555556,,,4,244.25,44.44444444,9,0.08155868,,,,,96.45979021,11324,11035,122611.11111111,active,active,active,-,-,,,,,,,,,9,9,0.07867133,0.07867133,0.08155868,0.1087449,12,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-04,2026-02-04,20000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD with Skeleton Confetti",2026-02-04,active,ad,110,113,1.02727273,"7-day click or 1-day view","Landing page views",2,26,13,2026-01-09,Ongoing,0,0,13,230.08849558,,,2,13,,,2,13,100,2,1.81818182,,,,,1.7699115,111,110,100,active,active,active,-,-,,,,,,,,,2,2,1.7699115,1.7699115,1.81818182,3.63636364,4,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"ABOS Traffic 2.0","Broad Japan","JD Konnichiwa Video - Copy",2026-02-04,active,ad,54900,55112,1.00386157,"7-day click or 1-day view","Landing page views",2385,24077,10.0951782,2026-01-09,Ongoing,0,0,9.1373814,436.87400203,,,2635,9.34303454,24077,,2385,10.0951782,90.51233397,2577,4.69398907,1,,227,106.0660793,4.32755117,53450,50912,90.51233397,active,active,active,"Above average","Above average",8,5203,2044,1245,446,317,1.02853603,3.27044281,2635,2577,4.78117288,4.78117288,4.69398907,6.76684882,3715,855,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Poster [Redirect link] + related Media",2026-02-04,not_delivering,ad,0,0,0,"7-day click or 1-day view","Website purchases",1,0,0,2026-01-26,Ongoing,0,0,,,0,1,,,0,0,,,0,,,1,1,,,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,100000,Daily
"ABOS Traffic 2.0","Broad Japan","JD Desk - Red Curtain - Copy",2026-02-04,active,ad,14,14,1,"7-day click or 1-day view","Landing page views",1,0,0,2026-01-09,Ongoing,0,0,0,0,,,1,0,,,1,0,100,1,7.14285714,,,,,7.14285714,14,14,100,active,active,active,-,-,,,,,,,,,1,1,7.14285714,7.14285714,7.14285714,7.14285714,1,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting","AR Experience",2026-02-04,active,ad,4067,5000,1.22940743,"7-day click, 1-day view, or 1-day engaged-view",,,5451,,2026-02-02,Ongoing,0,0,61.24719101,1090.2,,,89,67.2962963,5451,5451,77,70.79220779,86.51685393,81,1.99164003,1,1,26,209.65384615,,4985,3844,,active,active,active,Average,"Above average",9,1055,493,280,198,188,2.5108245,9.00991736,89,81,1.78,1.78,1.99164003,4.32751414,176,51,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,30000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD Photograph with graphics - Copy",2026-02-04,active,ad,1691,1776,1.05026611,"7-day click or 1-day view","Landing page views",29,406,14,2026-01-09,Ongoing,0,0,12.6875,228.6036036,,,32,12.6875,,,29,14,90.625,32,1.89237138,,,2,203,1.63288288,1769,1688,90.625,active,active,active,-,-,,,,,,,,,32,32,1.8018018,1.8018018,1.89237138,7.51034891,127,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","Opening Day Line Vid [Post]",2026-02-04,active,ad,27202,27924,1.02654217,"7-day click or 1-day view",Reach,27202,2620,96.31644732,2026-01-19,Ongoing,0,0,436.66666667,93.82609941,,,6,436.66666667,,,4,655,66.66666667,6,0.0220572,,,1,2620,97.41441054,26029,23791,453366.66666667,active,active,active,Average,-,3,1006,280,127,81,76,0.4935016,4.57242583,6,6,0.02148689,0.02148689,0.0220572,0.26836262,73,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-04,2026-02-04,20000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting","JD Video 121 - Copy 2",2026-02-04,active,ad,4134,4594,1.11127238,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,3459,1153,2026-02-02,Ongoing,3.94736842,4.76190476,45.51315789,752.93861559,1153,3,76,51.62686567,3459,3459,63,54.9047619,82.89473684,67,1.62070634,1,1,35,98.82857143,0.06530257,4682,3993,3.94736842,active,active,active,Average,"Above average",5,746,503,399,269,248,2.72576832,7.61894273,76,67,1.65433174,1.65433174,1.62070634,2.99951621,124,41,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,30000,Daily
"ABOS Traffic 2.0","JD Deep Interest","Black and white photo",2026-02-04,active,ad,38013,39533,1.03998632,"7-day click or 1-day view","Landing page views",1191,13119,11.01511335,2026-01-09,Ongoing,0,0,9.84171043,331.84934106,,,1333,10.30557738,,,1191,11.01511335,89.34733683,1273,3.34885434,,,80,163.9875,3.01267296,39356,36751,89.34733683,active,active,active,-,-,6,1568,568,350,139,108,1.35807453,5.39876543,1333,1273,3.37186654,3.37186654,3.34885434,4.97461395,1891,420,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD sitting desk - Copy",2026-02-04,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2026-01-26,Ongoing,0,0,,,,,,,,,,,0,,,,,1,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-04,2026-02-04,100000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD Photography - Copy 2",2026-02-04,active,ad,4244,4372,1.03016023,"7-day click or 1-day view","Landing page views",95,1066,11.22105263,2026-01-09,Ongoing,0,0,9.69090909,243.82433669,,,110,9.69090909,,,95,11.22105263,86.36363636,110,2.59189444,,,4,266.5,2.17291857,4349,4244,86.36363636,active,active,active,-,-,,,,,,,,,110,110,2.51601098,2.51601098,2.59189444,2.80395853,119,4,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"ABOS Traffic 2.0","Broad Japan","JD Painting with Graphic - Copy",2026-02-04,active,ad,20,20,1,"7-day click or 1-day view",,,3,,2026-01-09,Ongoing,0,0,,150,,,,,,,,,0,,,,,,,,20,20,,active,active,active,-,-,,,,,,,,,,,,,,0,0,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"ABOS Traffic 2.0","Broad Japan","JD with Skeleton Confetti",2026-02-04,active,ad,11,11,1,"7-day click or 1-day view",,,3,,2026-01-09,Ongoing,0,0,,272.72727273,,,,,,,,,0,,,,,,,,8,8,,active,active,active,-,-,,,,,,,,,,,,,,0,0,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-04,2026-02-04,50000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD Painting with Graphic - Copy",2026-02-03,active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,,,,,,1,1,,active,active,active,-,-,,,,,,,,,,,,,,0,0,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-03,2026-02-03,50000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD Konnichiwa Video",2026-02-03,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2026-01-26,Ongoing,0,0,,,,,,,,,,,0,,,,,8,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-03,2026-02-03,100000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD with Skull Confetti - Copy",2026-02-03,active,ad,22,22,1,"7-day click or 1-day view",,,1,,2026-01-09,Ongoing,0,0,,45.45454545,,,,,,,,,0,,,,,,,,22,22,,active,active,active,-,-,,,,,,,,,,,,,,0,0,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-03,2026-02-03,50000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Opening Weekend Video - Copy 2",2026-02-03,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2026-01-26,Ongoing,0,0,,,,,,,,,,,0,,,,,4,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-03,2026-02-03,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD sitting desk",2026-02-03,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2026-01-28,Ongoing,0,0,,,,,,,,,,,0,,,,,1,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-03,2026-02-03,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","JD - Something Inspires Vid",2026-02-03,active,ad,6163,6163,1,"7-day click or 1-day view",Reach,6163,528,85.67256206,2026-01-19,Ongoing,0,0,528,85.67256206,,,1,528,,,,,0,1,0.01622586,,,,,100,6696,5603,616300,active,active,active,"Above average",-,4,58,21,14,12,12,0.55114823,9.10344828,1,1,0.01622586,0.01622586,0.01622586,0.11358105,7,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-03,2026-02-03,20000,Daily
