Time Posted,"Image URL","Instagram Post","Caption","Media Type (Image, Video, Carousel)","Engagement Rate","Engagements","Followers","Views","Reach","Likes","Comments","Saves","Shares","Linkin.bio"
"Jan 15, 2026 03:45:38 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18091381108797271-66dba4fe73b73c.jpg","https://www.instagram.com/p/DThZHvJE7dp/","A Bunch of Stuff では、展示作品の着想源となったジョニー・デップ、⁠
彼の個人的なアーティファクトを公開しています。⁠
訪れるたびに、新たな発見があるはず。⁠
まるでミッケ、あなたは見つけれるでしょうか？⁠
⁠
今すぐチケットを手に入れて、ジョニーのパーソナルアイテムを体験してください。⁠
チケットはプロフィールのリンクから。⁠
⁠
A Bunch of Stuff features Johnny Depp’s personal artifacts that inspired him to create the captivating artwork featured throughout the exhibit. You’re sure to discover something new with each visit. Think you can find these items among A Bunch of Stuff?⁠
⁠
Get your tickets today and discover some of Johnny’s personal artifacts. Tickets via link in bio.","carousel","0.0%","184","39150","184","782","163","10","7",,
"Jan 14, 2026 03:58:30 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17960173218041202-e5c29cef4e6606.jpg","https://www.instagram.com/p/DTe1zKuky__/","🎬✨ MOVIE × ART SPECIAL CAMPAIGN ✨🎨⁠
あなたの 『モディリアーニ！』映画チケットで、東京で特別なジョニー・デップ体験を。⁠
この1月、ジョニー・デップの世界が映画館からエキシビション空間へと広がります。⁠
⁠
📅 キャンペーン期間⁠
1月16日〜31日⁠
⁠
🎥 対象作品⁠
ジョニー・デップ監督作品『モディリアーニ！』⁠
⁠
🎁 特典内容⁠
期間中に『モディリアーニ！』をご鑑賞のうえ、映画チケット（半券・電子チケット可）を⁠
A Bunch of Stuff by Johnny Depp 展示会場へお持ちいただくと、《当日受付で購入する入場チケット》が20％OFFになります。⁠
⁠
⚠️ ご注意ください⁠
・割引は【展示会場・当日受付でのチケット購入】のみ対象です⁠
・事前に購入された展示チケットには適用されません⁠
・チケット1枚につき1名様まで⁠
・他割引との併用不可⁠
・映画の鑑賞日と展示会の来場日は、同日でなくてもご利用いただけます⁠
⁠
🛍 グッズ販売中！⁠
展示会会場内のグッズショップでは、『モディリアーニ！』オリジナル・サウンドトラック（レコード・CD）も販売中。⁠
映画の余韻を、そのままアートと音で持ち帰れる特別なラインナップです。⁠
⁠
One artist. One city.⁠
映画を観て、アートに触れて、音楽を手に取る。⁠
この冬、映画と展示を通して広がるジョニー・デップの世界をお楽しみください。⁠
⁠
⁠
🎬✨ MOVIE × ART SPECIAL CAMPAIGN ✨🎨⁠
⁠
Your MODI movie ticket unlocks a special Johnny Depp experience.⁠
⁠
This January, Johnny Depp’s world expands beyond the cinema screen and into the exhibition space.⁠
⁠
📅 Campaign Period⁠
January 16 – January 31⁠
⁠
🎥 Eligible Film⁠
MODI, directed by Johnny Depp⁠
⁠
🎁 Special Offer⁠
Watch MODI during the campaign period and bring your movie ticket⁠ (stub or digital ticket accepted) to the A Bunch of Stuff by Johnny Depp exhibition venue.⁠
⁠
You will receive 20% OFF an exhibition admission ticket purchased at the venue on the same day.⁠
⁠
⚠️ Please Note⁠
•⁠ ⁠The discount applies only to tickets purchased at the exhibition venue on the day of your visit⁠
•⁠ ⁠Advance-purchased exhibition tickets are not eligible⁠
•⁠ ⁠One discount per movie ticket / one person only⁠
•⁠ ⁠Cannot be combined with other offers or discounts⁠
⁠
🛍 EXHIBITION GOODS⁠
At the exhibition’s merchandise shop, the original MODI soundtrack⁠ (vinyl records and CDs) is also available for purchase.⁠
⁠
Take the atmosphere of the film home with you through art and sound.⁠
⁠
One artist. One city.⁠
Watch the film. Experience the art. Discover the music.⁠
This winter, immerse yourself in the world of Johnny Depp through cinema and exhibition.

#ABunchOfStuffTokyo #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","carousel","0.98%","6046","39117","750403","613188","5179","137","367","171",
"Jan 8, 2026 05:16:36 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18109266142726305-2da2eb355d3546.jpg","https://www.instagram.com/p/DTPh91lE42m/","成人式を迎える皆様へ、来場者限定ギフト（お連れ様も）
 
1月12日（月) 成人の日。
ご本人はもちろん、ご一緒に来場される皆さまにも、
それぞれ無料ギフトをプレゼントいたします。
 
新たな一歩を祝う特別な一日。
あなた自身の物語が始まるその瞬間に寄り添う、
ジョニー・デップの自己表現の軌跡を体験してください。
 
【条件】
・ギフトショップカウンターにて、20歳であることが確認できる有効な身分証明書の提示が必要
・当日チケット購入者のみ対象
・備考（注記）： 2025年4月2日〜2026年4月1日の期間に、20歳である方／20歳になる方を対象
・プロモーション期間： 1ヶ月（2026年1月12日〜2026年2月12日）
 
---------
 
Coming of Age Day Special—FREE gifts for those celebrating Coming of Age + their guests.
 
This January 12th (Mon) visit us in celebration of Coming of Age Day! You and your guests will each receive a FREE GIFT upon visiting.
 
A day to celebrate a new step forward. At the moment you step into your own story, experience the journey of Johnny Depp’s self-expression that stands beside you.
 
Conditions are as follows: 
•  Promotion for people who is or will be 20 years of age from 2nd April 2025 until 1st April 2026
•  Promotion duration: 1 month. From 12 Jan 2026 until 12 Feb 2026
•  Must present a valid ID that confirms you are 20 years old at the Gift Shop counter.
•  Limited to same-day ticket purchasers only.","image","10%","1056","39005","27082","10828","967","38","51","25",
"Jan 5, 2026 02:34:00 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17849977005619198-6379d30bac8446.jpg","https://www.instagram.com/p/DTHg-WCE23C/","特別展：ジョニー・デップ⁠
『A Bunch of Stuff』展 ⁠
スターではなく、アーティストとしての真実⁠
静かにその扉が開く⁠
⁠
チケットはリンクから
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery, Coracho Tequila⁠
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @corachotequila, @corachotequila.japan, @jpsgallery⁠
⁠
Special Exhibition: Johnny Depp⁠
A Bunch of Stuff⁠
⁠
The truth of the artist, not the star⁠
Discover Johnny Depp’s artistic mind. ⁠
⁠
Get your tickets, link in bio.⁠
⁠
#ABunchOfStuff #JohnnyDepp #ArtExhibition #東京 #日本展覧会","image","13%","1262","38979","24891","9759","1173","45","44","16",
"Jan 3, 2026 10:43:30 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17846850852632048-64516d75168f1b.jpg","https://www.instagram.com/p/DTB9AYzE2pS/","静かなリマインダーが囁く、⁠
全ての物語には、終わりがある。⁠
⁠
だからこそ目を向けてほしいんです、⁠
使い込まれた物、残された手紙、⁠
何気なく持ち続けていたものが、⁠
あなたを支えていたことに気づく時。⁠
⁠
ここでは、私的なものが可視化される。⁠
大切に抱えられてきた持ち物達が、いま展示される。⁠
⁠
ジョニー・デップの、最もパーソナルな所蔵品を体験。⁠
A Bunch of Stuff 東京⁠
チケットはプロフィールリンクから。⁠
⁠
A quiet reminder: every story ends.⁠
So pay attention to what remains—⁠
the worn-in objects, the kept letters,⁠
the things you carried without thinking⁠
until they carried you.⁠
⁠
Here, the personal becomes visible:⁠
belongings held close, now held in view.⁠
⁠
Experience Johnny Depp’s most personal belongings.⁠
A Bunch of Stuff Tokyo. ⁠
Get your tickets via link in bio.","image","16%","1167","38936","19641","7701","1063","47","57","33",
"Dec 31, 2025 11:10:29 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18118652446561750-de306c9449f91b.jpg","https://www.instagram.com/p/DS6RtazE3Tc/","新年特別ギフト
⁠
1月2日〜10日の期間中に⁠
『A Bunch of Stuff』展示会へ
ご来場のチケット保持者に⁠
プレゼントをご用意しております！⁠
⁠
中身は数量限定の
スペシャルサプライズ。⁠
なくなり次第終了です。⁠
⁠
1月初旬のチケットはお早めに。⁠
詳細・ご予約はプロフィールリンクから。⁠
⁠

NEW YEAR’S SPECIAL GIFT

A special surprise is waiting for all ticket holders who come and visit the A Bunch fo Stuff Gallery between January 2nd and January 10th. There’s a special surprise inside that’s only available while supplies last!⁠
⁠
Get your tickets for early January today to reserve your spot. Link in bio.⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","carousel","10%","1226","38902","31390","11896","1045","29","85","38",
"Dec 30, 2025 10:00:00 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18086743496106361-4eaccdb9245413.jpg","https://www.instagram.com/p/DS3k9OwEyTc/","期間限定・新作入荷！
 
「A Bunch of Stuff」東京限定Tシャツが、期間限定で登場。
ジョニー・デップの日本展の記念アイテムを、ぜひお持ち帰りください。
 
本商品は日本限定・数量限定。
1月15日まで（在庫がなくなり次第終了）、会場内ギフトショップにて販売中です。
※当日有効の展覧会チケットをお持ちの方のみ購入可能
 
高輪ゲートウェイにて鑑賞後はショップへお立ち寄りください。
チケットはプロフィールのリンクより。
⁠
LIMITED EDITION NEW ARRIVAL!

The A Bunch of Stuff Tokyo-exclusive tee is now available for a LIMITED TIME! Take home a piece of Johnny Depp’s Japan art exhibition.  The limited-edition, Japan-exclusive A Bunch of Stuff Tokyo shirt is available in stores now through Jan 15 (while supplies last). Available only to guests with a same-day exhibition ticket.

Visit Takanawa Gateway and grab yours after the show. Only in stores for a limited time. Link in bio.","carousel","10%","1026","38892","33821","9582","850","37","61","45",
"Dec 30, 2025 09:29:48 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18137393470475823-0e2fc3cfc2cba9.jpg","https://www.instagram.com/p/DS3hYrqkjuO/","期間限定・LIMITED EDITION｜新作入荷！⁠
⁠
『A Bunch of Stuff』東京限定Tシャツが、⁠
東京展チケットをお持ちの方限定・期間限定でギフトショップに参上。⁠
⁠
ジョニー・デップ日本展ローンチの記念を、ぜひ手元に。⁠
クリスマスイブのギフトにもぴったりです。⁠
⁠
公演後はショップへ。⁠
高輪ゲートウェイ店頭限定・数量限定。⁠
詳細はプロフィールリンクから。⁠
⁠
LIMITED EDITION NEW ARRIVAL!⁠
⁠
The A Bunch of Stuff Tokyo-exclusive tee is now available for a LIMITED TIME in the gift shop for Tokyo ticket exhibition holders! Take home a piece of Johnny Depp’s Japan art exhibition. The souvenir makes a great last-minute Christmas gift.⁠
⁠
Visit Takanawa Gateway and grab yours after the show. Only in stores for a limited time. Link in bio.","carousel","0.0%",,"38884",,,,,,,
"Dec 29, 2025 06:32:17 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17959260486013291-70ac2ff6c224ae.jpg","https://www.instagram.com/p/DS16rhIE9kL/","オープン真っ最中！⁠
オープン日：12月31日・1月2日・1月3日・1月4日⁠
⁠
『A Bunch of Stuff』はホリデー期間も開催中。⁠
お仕事を休んだりする必要はありません。⁠
⁠
ジョニー・デップの個人的な作品と、⁠
その創作の源となったオブジェクトの数々を拝見・体験してください。⁠
⁠
最もあなたの心に響く作品は、どれでしょうか？⁠
⁠
チケットはプロフィールリンクから。⁠
⁠
We are open!⁠
Dates Open: 12/31 ・01/02 ・01/03・01/04⁠
⁠
A Bunch of Stuff is open during the holidays. No need to take a day off work. Come experience Johnny Depp’s personal artworks and the objects that inspired them.⁠
⁠
Which artwork will you connect with most?⁠
⁠
Get your tickets via the link in bio.⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","carousel","13%","1415","38862","28878","10302","1229","42","62","41",
"Dec 26, 2025 05:50:41 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18013948910642878-8c6c218942d5c2.jpg","https://www.instagram.com/p/DSuHiK0E5I3/","特別展：ジョニー・デップ⁠
『A Bunch of Stuff』展 ⁠
⁠
スターではなく、アーティストの真実。⁠
ただいま開幕中。チケットはプロフィールリンクから。⁠
⁠
“Special Exhibition: Johnny Depp⁠
A Bunch of Stuff⁠
⁠
The truth of the artist, not the star⁠
Doors now open, tickets via link in bio.⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","image","15%","986","38693","18775","6820","888","43","55","26",
"Dec 24, 2025 09:05:48 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18159941800405710-27c019bb0e1a76.jpg","https://www.instagram.com/p/DSpURhaE09I/","ジョニー・デップが30年にわたり描き続けてきた⁠
個人的なアートを一挙公開。⁠
60点以上にも並ぶ作品、⁠
シネマティックなブラックボックス、テーマ別ギャラリー、⁠
そして限定グッズ。⁠
⁠
すべてを体験できるのは、東京だけ・期間限定。⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery, Coracho Tequila⁠
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @corachotequila, @corachotequila.japan, @jpsgallery⁠
⁠
Explore 30 years of Johnny Depp’s personal art in A Bunch of Stuff — over 60 works, a cinematic Black Box, themed galleries, and exclusive merch. Limited time only in Tokyo.⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #東京 #日本展覧会","image","17%","1390","38537","22008","8504","1291","47","52","33",
"Dec 20, 2025 01:27:28 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18090640534769087-858ce096d1d597.jpg","https://www.instagram.com/p/DSeMpDdE5mN/","特別展：ジョニー・デップ
『A Bunch of Stuff』展
余白と光が紡ぐ内省の美学
個人史を刻む“総合芸術”の試み

このエキシビションはSilk the Rich (@silk_therich)の提供での開催。
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @corachotequila, @corachotequila.japan, @jpsgallery 

Special Exhibition: Johnny Depp
A Bunch of Stuff

An introspective aesthetic woven from space and light
A Gesamtkunstwerk marking his personal history.

Tickets on sale now, link in bio.

#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #日本展覧会","carousel","17%","1492","37830","28745","8290","1304","53","59","25",
"Dec 17, 2025 08:43:52 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18385635190151528-07d75047aece98.jpg","https://www.instagram.com/p/DSXQMw1DHub/","As is tradition, Johnny opened A Bunch of Stuff in the only way that made sense: not with a ribbon or a speech, but with a painting. 

A first stroke (or spray) on a fresh canvas, like smashing a bottle of champagne against a ship before it sails.

Over the following days and weeks, fans across Tokyo have added their own messages of love and creativity to the wall. 

We can’t wait to welcome you to A Bunch Of Stuff Tokyo. 

そして今回も“例のやり方”で。
ジョニーは『A Bunch of Stuff』の幕開けを、スピーチでもテープカットでもなく、『絵』で始めた。
 
まっさらなキャンバスに置かれた最初の一筆（あるいはスプレー）。
まるで船出の前に船にシャンパンを打ちつける、あの伝統のように。","carousel","13%","362131","37284","7646913","2789963","349704","2645","4516","2421",
"Dec 15, 2025 11:37:48 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18037449308726131-57c8bf017ef15b.jpg","https://www.instagram.com/p/DSRIHZ1k2OM/","ザ・バニーマン。⁠
それは、幼い子どもの悪夢と、アーティストの無意識から引き寄せられた存在。⁠

ジョニーの当時5歳の息子が初めて描いたとき、彼は“怖いもの”…しかしどこか“見覚えのあるもの”として現れました。⁠
⁠
いま彼は、守護者であり、姿を変えるシェイプシフターとして進化。⁠
真実の剣を携え、想像と現実のあいだを行き来する存在となりました。⁠

私たちを怯えさせるものこそ、しばしば最大の創造性を秘めている、その象徴でもあります。⁠
⁠
バニーマンはジョニー・デップの作品に真実性と意図を刻む印。⁠
そして今回、A Bunch of Stuff にて、ついに初めて一般に公開されます。⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery⁠
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @corachotequila, @corachotequila.japan, @jpsgallery⁠
⁠
The Bunnyman. A figure pulled from a child’s nightmare and an artist’s subconscious. First drawn by Johnny’s five-year-old son, he appeared as something frightening… yet strangely familiar.⁠
⁠
Today, he’s evolved into a guardian and a shapeshifter. A protector holding a sword of truth, bridging the space between imagination and reality. A reminder that the things that scare us often carry our greatest creative power.⁠
⁠
The Bunnyman marks each piece with authenticity and intention and is seen for the first time in public in Johnny Depp’s A Bunch of Stuff.⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #BAUART #ArtExhibition #Tokyo #日本展覧会 #WeAreNSN⁠","image","7.4%","1203","36328","52264","16624","1127","25","51","22",
